user_a_name,user_a_city,user_a_intent,user_b_name,user_b_city,user_b_intent,matchPercentage,totalScore,breakdown_setup1,breakdown_setup2,breakdown_setup3,breakdown_setup4
Derya Celik,Istanbul,not_sure_yet,Kaan Aslan,Istanbul,not_sure_yet,-4,-15,-25,15,-5,0
Derya Celik,Istanbul,not_sure_yet,Kaan Koc,Istanbul,not_sure_yet,1,5,-5,15,-5,0
Derya Celik,Istanbul,not_sure_yet,Can Erdogan,Istanbul,not_sure_yet,15,53,0,15,38,0
Derya Celik,Istanbul,not_sure_yet,Tolga Dogan,Istanbul,not_sure_yet,12,43,-15,15,53,-10
Derya Celik,Istanbul,not_sure_yet,Umut Koc,Istanbul,not_sure_yet,0,0,0,15,-5,-10
Derya Celik,Istanbul,not_sure_yet,Umut Dogan,Istanbul,not_sure_yet,11,40,-15,15,50,-10
Derya Celik,Istanbul,not_sure_yet,Mert Kilic,Istanbul,not_sure_yet,-6,-20,-30,15,-5,0
Derya Celik,Istanbul,not_sure_yet,Umut Karaca,Istanbul,not_sure_yet,13,48,-15,15,48,0
Derya Celik,Istanbul,not_sure_yet,Oguz Karaca,Istanbul,not_sure_yet,-1,-5,-5,15,-5,-10
Derya Celik,Istanbul,not_sure_yet,Ahmet Koc,Istanbul,not_sure_yet,15,55,10,15,40,-10
Derya Celik,Istanbul,not_sure_yet,Oguz Erdogan,Istanbul,just_friends,12,43,-5,10,48,-10
Derya Celik,Istanbul,not_sure_yet,Furkan Yilmaz,Istanbul,not_sure_yet,13,48,-10,15,43,0
Derya Celik,Istanbul,not_sure_yet,Kaan Yilmaz,Istanbul,not_sure_yet,24,88,15,15,58,0
Derya Celik,Istanbul,not_sure_yet,Deniz Ozturk,Istanbul,just_friends,-1,-2,-25,10,23,-10
Derya Celik,Istanbul,not_sure_yet,Yusuf Kurt,Istanbul,open_to_relationship,13,45,0,10,45,-10
Derya Celik,Istanbul,not_sure_yet,Deniz Demir,Istanbul,keeping_it_casual,6,20,-25,10,45,-10
Derya Celik,Istanbul,not_sure_yet,Kaan Ozdemir,Istanbul,open_to_relationship,0,0,5,10,-5,-10
Derya Celik,Istanbul,not_sure_yet,Furkan Demir,Istanbul,just_friends,8,28,-30,10,48,0
Derya Celik,Istanbul,not_sure_yet,Yusuf Sahin,Istanbul,just_friends,7,25,0,10,25,-10
Derya Celik,Istanbul,not_sure_yet,Ahmet Aslan,Istanbul,not_sure_yet,0,0,0,15,-5,-10
Derya Celik,Istanbul,not_sure_yet,Kerem Yilmaz,Istanbul,just_friends,11,38,5,10,33,-10
Derya Celik,Istanbul,not_sure_yet,Can Tekin,Istanbul,open_to_relationship,18,65,10,10,55,-10
Derya Celik,Istanbul,not_sure_yet,Umut Ozdemir,Istanbul,keeping_it_casual,9,33,-5,10,38,-10
Derya Celik,Istanbul,not_sure_yet,Arda Celik,Istanbul,open_to_relationship,-1,-5,0,10,-5,-10
Derya Celik,Istanbul,not_sure_yet,Ahmet Aksoy,Istanbul,just_friends,12,43,-10,10,53,-10
Derya Celik,Istanbul,not_sure_yet,Eren Demir,Istanbul,keeping_it_casual,11,40,-5,10,45,-10
Derya Celik,Istanbul,not_sure_yet,Onur Arslan,Istanbul,just_friends,21,75,-5,10,80,-10
Derya Celik,Istanbul,not_sure_yet,Burak Kilic,Istanbul,open_to_relationship,14,50,5,10,45,-10
Derya Celik,Istanbul,not_sure_yet,Oguz Celik,Istanbul,keeping_it_casual,14,50,-10,10,50,0
Derya Celik,Istanbul,not_sure_yet,Emre Kaya,Istanbul,keeping_it_casual,4,13,-10,10,23,-10
Derya Celik,Istanbul,not_sure_yet,Furkan Tekin,Istanbul,open_to_relationship,15,53,5,10,48,-10
Derya Celik,Istanbul,not_sure_yet,Deniz Ozdemir,Istanbul,keeping_it_casual,0,0,5,10,-5,-10
Derya Celik,Istanbul,not_sure_yet,Burak Kaya,Istanbul,keeping_it_casual,5,18,-30,10,38,0
Derya Celik,Istanbul,not_sure_yet,Can Kilic,Istanbul,not_sure_yet,18,63,0,15,48,0
Derya Celik,Istanbul,not_sure_yet,Deniz Kaya,Istanbul,just_friends,10,35,0,10,35,-10
Derya Celik,Istanbul,not_sure_yet,Emre Yilmaz,Istanbul,just_friends,15,53,-5,10,48,0
Derya Celik,Istanbul,not_sure_yet,Eren Koc,Istanbul,open_to_relationship,13,48,5,10,43,-10
Derya Celik,Istanbul,not_sure_yet,Burak Polat,Istanbul,keeping_it_casual,13,45,-10,10,55,-10
Derya Celik,Istanbul,not_sure_yet,Furkan Tekin,Istanbul,not_sure_yet,16,58,15,15,38,-10
Derya Celik,Istanbul,not_sure_yet,Berk Kurt,Istanbul,not_sure_yet,17,60,-5,15,60,-10
Derya Celik,Istanbul,not_sure_yet,Mehmet Ozturk,Istanbul,open_to_relationship,11,38,-15,10,53,-10
Derya Celik,Istanbul,not_sure_yet,Ahmet Kilic,Istanbul,keeping_it_casual,1,5,0,10,-5,0
Derya Celik,Istanbul,not_sure_yet,Yusuf Aksoy,Istanbul,just_friends,18,63,25,10,38,-10
Derya Celik,Istanbul,not_sure_yet,Umut Demir,Istanbul,keeping_it_casual,21,75,5,10,70,-10
Derya Celik,Istanbul,not_sure_yet,Eren Dogan,Istanbul,keeping_it_casual,6,20,-25,10,45,-10
Derya Celik,Istanbul,not_sure_yet,Ahmet Yildiz,Istanbul,open_to_relationship,11,38,-10,10,48,-10
Derya Celik,Istanbul,not_sure_yet,Arda Koc,Istanbul,open_to_relationship,10,35,-20,10,55,-10
Derya Celik,Istanbul,not_sure_yet,Furkan Arslan,Istanbul,open_to_relationship,22,80,5,10,65,0
Derya Celik,Istanbul,not_sure_yet,Kaan Tekin,Istanbul,open_to_relationship,4,13,-10,10,23,-10
Derya Celik,Istanbul,not_sure_yet,Oguz Kilic,Istanbul,just_friends,8,28,5,10,23,-10
Derya Celik,Istanbul,not_sure_yet,Baris Tekin,Istanbul,open_to_relationship,11,40,-30,10,60,0
Derya Celik,Istanbul,not_sure_yet,Kerem Aksoy,Istanbul,not_sure_yet,15,53,5,15,43,-10
Derya Celik,Istanbul,not_sure_yet,Burak Ozdemir,Istanbul,just_friends,15,55,0,10,55,-10
Derya Celik,Istanbul,not_sure_yet,Tolga Aydin,Istanbul,keeping_it_casual,17,60,-5,10,55,0
Derya Celik,Istanbul,not_sure_yet,Deniz Koc,Istanbul,not_sure_yet,9,33,-5,15,33,-10
Derya Celik,Istanbul,not_sure_yet,Ahmet Ozturk,Istanbul,open_to_relationship,1,5,-25,10,30,-10
Derya Celik,Istanbul,not_sure_yet,Mehmet Kurt,Istanbul,not_sure_yet,-4,-15,-15,15,-5,-10
Derya Celik,Istanbul,not_sure_yet,Mert Sahin,Istanbul,open_to_relationship,0,0,5,10,-5,-10
Derya Celik,Istanbul,not_sure_yet,Eren Yilmaz,Istanbul,just_friends,15,55,5,10,40,0
Derya Celik,Istanbul,not_sure_yet,Serkan Tekin,Istanbul,keeping_it_casual,8,30,5,10,25,-10
Derya Celik,Istanbul,not_sure_yet,Tolga Yilmaz,Istanbul,open_to_relationship,8,28,-20,10,48,-10
Derya Celik,Istanbul,not_sure_yet,Burak Demir,Istanbul,just_friends,-7,-25,-30,10,-5,0
Derya Celik,Istanbul,not_sure_yet,Burak Yildiz,Istanbul,not_sure_yet,3,10,0,15,-5,0
Derya Celik,Istanbul,not_sure_yet,Arda Aslan,Istanbul,not_sure_yet,11,38,-10,15,33,0
Derya Celik,Istanbul,not_sure_yet,Can Yildiz,Istanbul,open_to_relationship,3,10,15,10,-5,-10
Derya Celik,Istanbul,not_sure_yet,Deniz Arslan,Istanbul,open_to_relationship,8,28,5,10,23,-10
Derya Celik,Istanbul,not_sure_yet,Furkan Erdogan,Istanbul,keeping_it_casual,4,15,-15,10,30,-10
Derya Celik,Istanbul,not_sure_yet,Oguz Kurt,Istanbul,keeping_it_casual,8,28,-15,10,43,-10
Derya Celik,Istanbul,not_sure_yet,Ahmet Aksoy,Istanbul,open_to_relationship,3,10,5,10,-5,0
Derya Celik,Istanbul,not_sure_yet,Emre Yilmaz,Istanbul,just_friends,21,75,0,10,65,0
Derya Celik,Istanbul,not_sure_yet,Mehmet Erdogan,Istanbul,just_friends,12,43,5,10,38,-10
Kaan Aslan,Istanbul,not_sure_yet,Sinem Aslan,Istanbul,not_sure_yet,-3,-10,-15,15,0,-10
Kaan Aslan,Istanbul,not_sure_yet,Tugce Ozturk,Istanbul,not_sure_yet,4,15,5,15,-5,0
Kaan Aslan,Istanbul,not_sure_yet,Seda Koc,Istanbul,not_sure_yet,3,10,5,15,0,-10
Kaan Aslan,Istanbul,not_sure_yet,Sinem Yildiz,Istanbul,not_sure_yet,0,0,-15,15,0,0
Kaan Aslan,Istanbul,not_sure_yet,Naz Karaca,Istanbul,not_sure_yet,-4,-15,-15,15,-5,-10
Kaan Aslan,Istanbul,not_sure_yet,Selin Dogan,Istanbul,not_sure_yet,-3,-10,-25,15,0,0
Kaan Aslan,Istanbul,not_sure_yet,Ece Aslan,Istanbul,not_sure_yet,0,0,-5,15,0,-10
Kaan Aslan,Istanbul,not_sure_yet,Ceren Ozturk,Istanbul,not_sure_yet,4,15,15,15,-5,-10
Kaan Aslan,Istanbul,not_sure_yet,Zeynep Sahin,Istanbul,not_sure_yet,-4,-15,-20,15,0,-10
Kaan Aslan,Istanbul,not_sure_yet,Merve Polat,Istanbul,not_sure_yet,0,0,-15,15,0,0
Kaan Aslan,Istanbul,not_sure_yet,Melis Aydin,Istanbul,not_sure_yet,-3,-10,-20,15,-5,0
Kaan Aslan,Istanbul,not_sure_yet,Buse Arslan,Istanbul,not_sure_yet,1,5,5,15,-5,-10
Kaan Aslan,Istanbul,not_sure_yet,Asli Erdogan,Istanbul,not_sure_yet,0,0,0,15,-5,-10
Kaan Aslan,Istanbul,not_sure_yet,Selin Ozdemir,Istanbul,not_sure_yet,1,5,-5,15,-5,0
Kaan Aslan,Istanbul,not_sure_yet,Yasemin Arslan,Istanbul,open_to_relationship,-6,-20,-25,10,-5,0
Kaan Aslan,Istanbul,not_sure_yet,Buse Karaca,Istanbul,not_sure_yet,-1,-5,-5,15,-5,-10
Kaan Aslan,Istanbul,not_sure_yet,Melis Kurt,Istanbul,open_to_relationship,-3,-10,-5,10,-5,-10
Kaan Aslan,Istanbul,not_sure_yet,Derya Tekin,Istanbul,open_to_relationship,0,0,-5,10,-5,0
Kaan Aslan,Istanbul,not_sure_yet,Tugce Kurt,Istanbul,open_to_relationship,-3,-10,-15,10,-5,0
Kaan Aslan,Istanbul,not_sure_yet,Aren Kurt,Istanbul,just_friends,-3,-10,-5,10,-5,-10
Kaan Aslan,Istanbul,not_sure_yet,Zeynep Demir,Istanbul,just_friends,0,0,-5,10,-5,0
Kaan Aslan,Istanbul,not_sure_yet,Pelin Koc,Istanbul,open_to_relationship,6,20,15,10,-5,0
Kaan Aslan,Istanbul,not_sure_yet,Ege Celik,Istanbul,keeping_it_casual,-1,-5,-10,10,-5,0
Kaan Aslan,Istanbul,not_sure_yet,Gizem Kurt,Istanbul,keeping_it_casual,0,0,5,10,-5,-10
Kaan Aslan,Istanbul,not_sure_yet,Ege Tekin,Istanbul,just_friends,-3,-10,-15,10,-5,0
Kaan Aslan,Istanbul,not_sure_yet,Seda Ozturk,Istanbul,just_friends,0,0,-5,10,-5,0
Kaan Aslan,Istanbul,not_sure_yet,Selin Celik,Istanbul,open_to_relationship,-6,-20,-20,10,0,-10
Kaan Aslan,Istanbul,not_sure_yet,Zeynep Sahin,Istanbul,just_friends,-3,-10,-15,10,-5,0
Kaan Aslan,Istanbul,not_sure_yet,Melis Ozdemir,Istanbul,open_to_relationship,-8,-30,-25,10,-5,-10
Kaan Aslan,Istanbul,not_sure_yet,Gizem Yilmaz,Istanbul,just_friends,-7,-25,-20,10,-5,-10
Kaan Aslan,Istanbul,not_sure_yet,Yasemin Erdogan,Istanbul,keeping_it_casual,-8,-30,-30,10,0,-10
Kaan Aslan,Istanbul,not_sure_yet,Zeynep Karaca,Istanbul,open_to_relationship,-10,-35,-30,10,-5,-10
Kaan Aslan,Istanbul,not_sure_yet,Selin Kurt,Istanbul,just_friends,-10,-35,-30,10,-5,-10
Kaan Aslan,Istanbul,not_sure_yet,Tugce Tekin,Istanbul,open_to_relationship,0,0,-5,10,-5,0
Kaan Aslan,Istanbul,not_sure_yet,Seda Aslan,Istanbul,just_friends,0,0,-5,10,-5,0
Kaan Aslan,Istanbul,not_sure_yet,Derya Ozturk,Istanbul,just_friends,-3,-10,-10,10,0,-10
Kaan Aslan,Istanbul,not_sure_yet,Aylin Polat,Istanbul,just_friends,-10,-35,-30,10,-5,-10
Kaan Aslan,Istanbul,not_sure_yet,Elif Aydin,Istanbul,just_friends,-3,-10,-5,10,-5,-10
Kaan Aslan,Istanbul,not_sure_yet,Melis Aydin,Istanbul,keeping_it_casual,-6,-20,-15,10,-5,-10
Kaan Aslan,Istanbul,not_sure_yet,Asli Kurt,Istanbul,open_to_relationship,3,10,5,10,-5,0
Kaan Aslan,Istanbul,not_sure_yet,Derya Koc,Istanbul,open_to_relationship,0,0,-5,10,-5,0
Kaan Aslan,Istanbul,not_sure_yet,Aylin Arslan,Istanbul,open_to_relationship,-6,-20,-15,10,-5,-10
Kaan Aslan,Istanbul,not_sure_yet,Sinem Kurt,Istanbul,keeping_it_casual,0,0,-5,10,-5,0
Kaan Aslan,Istanbul,not_sure_yet,Derya Ozdemir,Istanbul,just_friends,-1,-5,-10,10,-5,0
Kaan Aslan,Istanbul,not_sure_yet,Ece Sahin,Istanbul,keeping_it_casual,1,5,5,10,0,-10
Kaan Aslan,Istanbul,not_sure_yet,Derya Sahin,Istanbul,not_sure_yet,4,15,15,15,-5,-10
Kaan Aslan,Istanbul,not_sure_yet,Buse Aksoy,Istanbul,not_sure_yet,1,5,5,15,-5,-10
Kaan Aslan,Istanbul,not_sure_yet,Gizem Sahin,Istanbul,open_to_relationship,-6,-20,-20,10,0,-10
Kaan Aslan,Istanbul,not_sure_yet,Aylin Ozdemir,Istanbul,just_friends,-7,-25,-30,10,-5,0
Kaan Aslan,Istanbul,not_sure_yet,Selin Kaya,Istanbul,keeping_it_casual,3,10,5,10,-5,0
Kaan Aslan,Istanbul,not_sure_yet,Zeynep Erdogan,Istanbul,open_to_relationship,-3,-10,-15,10,-5,0
Kaan Aslan,Istanbul,not_sure_yet,Ekin Aksoy,Istanbul,just_friends,3,10,15,10,-5,-10
Kaan Aslan,Istanbul,not_sure_yet,Pelin Polat,Istanbul,keeping_it_casual,-10,-35,-30,10,-5,-10
Kaan Aslan,Istanbul,not_sure_yet,Derya Aslan,Istanbul,just_friends,6,20,15,10,-5,0
Kaan Aslan,Istanbul,not_sure_yet,Tugce Ozturk,Istanbul,open_to_relationship,-6,-20,-15,10,-5,-10
Zeynep Yilmaz,Izmir,not_sure_yet,Arda Karaca,Izmir,not_sure_yet,10,35,-20,15,40,0
Zeynep Yilmaz,Izmir,not_sure_yet,Ahmet Aslan,Izmir,not_sure_yet,18,63,5,15,53,-10
Zeynep Yilmaz,Izmir,not_sure_yet,Onur Polat,Izmir,not_sure_yet,1,5,5,15,-5,-10
Zeynep Yilmaz,Izmir,not_sure_yet,Serkan Yilmaz,Izmir,not_sure_yet,13,48,-20,15,63,-10
Zeynep Yilmaz,Izmir,not_sure_yet,Mehmet Aslan,Izmir,not_sure_yet,15,53,-5,15,53,-10
Zeynep Yilmaz,Izmir,not_sure_yet,Can Yilmaz,Izmir,open_to_relationship,8,30,-20,10,40,0
Zeynep Yilmaz,Izmir,not_sure_yet,Ilke Dogan,Izmir,keeping_it_casual,6,23,-25,10,48,-10
Zeynep Yilmaz,Izmir,not_sure_yet,Serkan Dogan,Izmir,just_friends,13,45,-15,10,50,0
Zeynep Yilmaz,Izmir,not_sure_yet,Mehmet Arslan,Izmir,just_friends,11,40,-10,10,40,0
Zeynep Yilmaz,Izmir,not_sure_yet,Eren Aksoy,Izmir,open_to_relationship,12,43,-30,10,63,0
Zeynep Yilmaz,Izmir,not_sure_yet,Kaan Kaya,Izmir,open_to_relationship,11,40,-25,10,65,-10
Zeynep Yilmaz,Izmir,not_sure_yet,Kerem Polat,Izmir,just_friends,17,60,0,10,60,-10
Merve Demir,Izmir,not_sure_yet,Arda Karaca,Izmir,not_sure_yet,3,10,0,15,-5,0
Merve Demir,Izmir,not_sure_yet,Ahmet Aslan,Izmir,not_sure_yet,-4,-15,-15,15,-5,-10
Merve Demir,Izmir,not_sure_yet,Onur Polat,Izmir,not_sure_yet,0,0,-5,15,0,-10
Merve Demir,Izmir,not_sure_yet,Serkan Yilmaz,Izmir,not_sure_yet,0,0,0,15,-5,-10
Merve Demir,Izmir,not_sure_yet,Mehmet Aslan,Izmir,not_sure_yet,1,5,5,15,-5,-10
Merve Demir,Izmir,not_sure_yet,Can Yilmaz,Izmir,open_to_relationship,4,15,10,10,-5,0
Merve Demir,Izmir,not_sure_yet,Ilke Dogan,Izmir,keeping_it_casual,3,10,15,10,-5,-10
Merve Demir,Izmir,not_sure_yet,Serkan Dogan,Izmir,just_friends,3,10,5,10,-5,0
Merve Demir,Izmir,not_sure_yet,Mehmet Arslan,Izmir,just_friends,1,5,0,10,-5,0
Merve Demir,Izmir,not_sure_yet,Eren Aksoy,Izmir,open_to_relationship,7,25,20,10,-5,0
Merve Demir,Izmir,not_sure_yet,Kaan Kaya,Izmir,open_to_relationship,6,20,25,10,-5,-10
Merve Demir,Izmir,not_sure_yet,Kerem Polat,Izmir,just_friends,-10,-35,-30,10,-5,-10
Aylin Yilmaz,Ankara,not_sure_yet,Onur Aksoy,Ankara,not_sure_yet,7,25,-25,15,-5,40
Aylin Yilmaz,Ankara,not_sure_yet,Burak Ozturk,Ankara,just_friends,-1,-5,0,10,-5,-10
Aylin Yilmaz,Ankara,not_sure_yet,Furkan Aydin,Ankara,not_sure_yet,1,5,5,15,-5,-10
Aylin Yilmaz,Ankara,not_sure_yet,Furkan Arslan,Ankara,open_to_relationship,21,75,20,10,-5,50
Aylin Yilmaz,Ankara,not_sure_yet,Ekin Dogan,Ankara,open_to_relationship,10,35,15,10,-5,15
Aylin Yilmaz,Ankara,not_sure_yet,Ahmet Ozturk,Ankara,open_to_relationship,-6,-20,-15,10,-5,-10
Aylin Yilmaz,Ankara,not_sure_yet,Berk Yildiz,Ankara,open_to_relationship,13,45,-10,10,-5,50
Aylin Yilmaz,Ankara,not_sure_yet,Duru Celik,Ankara,just_friends,0,0,5,10,-5,-10
Aylin Yilmaz,Ankara,not_sure_yet,Tolga Koc,Ankara,just_friends,17,60,0,10,0,50
Aylin Yilmaz,Ankara,not_sure_yet,Can Tekin,Ankara,not_sure_yet,21,75,5,15,0,55
Aylin Yilmaz,Ankara,not_sure_yet,Serkan Ozturk,Ankara,keeping_it_casual,25,90,5,10,0,75
Aylin Yilmaz,Ankara,not_sure_yet,Serkan Karaca,Ankara,open_to_relationship,-8,-30,-25,10,-5,-10
Aylin Yilmaz,Ankara,not_sure_yet,Yusuf Tekin,Ankara,keeping_it_casual,15,55,-5,10,-5,55
Aylin Yilmaz,Ankara,not_sure_yet,Kerem Kilic,Ankara,open_to_relationship,11,38,-20,10,-5,53
Aylin Yilmaz,Ankara,not_sure_yet,Ahmet Koc,Ankara,just_friends,7,25,-25,10,-5,45
Aylin Yilmaz,Ankara,not_sure_yet,Baris Ozturk,Ankara,just_friends,0,0,5,10,-5,-10
Aylin Yilmaz,Ankara,not_sure_yet,Umut Arslan,Ankara,just_friends,-6,-20,-15,10,-5,-10
Aylin Yilmaz,Ankara,not_sure_yet,Umut Yilmaz,Ankara,keeping_it_casual,-3,-10,-5,10,-5,-10
Lara Koc,Izmir,not_sure_yet,Arda Karaca,Izmir,not_sure_yet,8,28,-10,15,33,-10
Lara Koc,Izmir,not_sure_yet,Ahmet Aslan,Izmir,not_sure_yet,27,98,5,15,30,48
Lara Koc,Izmir,not_sure_yet,Onur Polat,Izmir,not_sure_yet,19,70,15,15,-5,45
Lara Koc,Izmir,not_sure_yet,Serkan Yilmaz,Izmir,not_sure_yet,22,78,0,15,10,53
Lara Koc,Izmir,not_sure_yet,Mehmet Aslan,Izmir,not_sure_yet,29,103,15,15,15,58
Lara Koc,Izmir,not_sure_yet,Can Yilmaz,Izmir,open_to_relationship,15,53,10,10,43,-10
Lara Koc,Izmir,not_sure_yet,Ilke Dogan,Izmir,keeping_it_casual,31,110,5,10,40,55
Lara Koc,Izmir,not_sure_yet,Serkan Dogan,Izmir,just_friends,9,33,5,10,28,-10
Lara Koc,Izmir,not_sure_yet,Mehmet Arslan,Izmir,just_friends,13,48,10,10,38,-10
Lara Koc,Izmir,not_sure_yet,Eren Aksoy,Izmir,open_to_relationship,7,25,0,10,25,-10
Lara Koc,Izmir,not_sure_yet,Kaan Kaya,Izmir,open_to_relationship,22,78,5,10,3,60
Lara Koc,Izmir,not_sure_yet,Kerem Polat,Izmir,just_friends,29,103,-20,10,38,75
Sinem Aslan,Istanbul,not_sure_yet,Kaan Koc,Istanbul,not_sure_yet,3,10,5,15,0,-10
Sinem Aslan,Istanbul,not_sure_yet,Can Erdogan,Istanbul,not_sure_yet,-3,-10,-10,15,-5,-10
Sinem Aslan,Istanbul,not_sure_yet,Tolga Dogan,Istanbul,not_sure_yet,11,38,-25,15,-5,53
Sinem Aslan,Istanbul,not_sure_yet,Umut Koc,Istanbul,not_sure_yet,29,103,10,15,0,78
Sinem Aslan,Istanbul,not_sure_yet,Umut Dogan,Istanbul,not_sure_yet,18,63,-15,15,-5,68
Sinem Aslan,Istanbul,not_sure_yet,Mert Kilic,Istanbul,not_sure_yet,-7,-25,-30,15,0,-10
Sinem Aslan,Istanbul,not_sure_yet,Umut Karaca,Istanbul,not_sure_yet,-4,-15,-15,15,-5,-10
Sinem Aslan,Istanbul,not_sure_yet,Oguz Karaca,Istanbul,not_sure_yet,21,75,-15,15,0,75
Sinem Aslan,Istanbul,not_sure_yet,Ahmet Koc,Istanbul,not_sure_yet,13,45,-10,15,-5,45
Sinem Aslan,Istanbul,not_sure_yet,Oguz Erdogan,Istanbul,just_friends,13,48,-15,10,-5,58
Sinem Aslan,Istanbul,not_sure_yet,Furkan Yilmaz,Istanbul,not_sure_yet,-8,-30,-30,15,-5,-10
Sinem Aslan,Istanbul,not_sure_yet,Kaan Yilmaz,Istanbul,not_sure_yet,1,5,5,15,-5,-10
Sinem Aslan,Istanbul,not_sure_yet,Deniz Ozturk,Istanbul,just_friends,18,65,-25,10,-5,85
Sinem Aslan,Istanbul,not_sure_yet,Yusuf Kurt,Istanbul,open_to_relationship,18,65,0,10,-5,60
Sinem Aslan,Istanbul,not_sure_yet,Deniz Demir,Istanbul,keeping_it_casual,18,63,-25,10,-5,83
Sinem Aslan,Istanbul,not_sure_yet,Kaan Ozdemir,Istanbul,open_to_relationship,27,98,5,10,0,83
Sinem Aslan,Istanbul,not_sure_yet,Furkan Demir,Istanbul,just_friends,-10,-35,-30,10,-5,-10
Sinem Aslan,Istanbul,not_sure_yet,Yusuf Sahin,Istanbul,just_friends,14,50,0,10,-5,45
Sinem Aslan,Istanbul,not_sure_yet,Ahmet Aslan,Istanbul,not_sure_yet,24,88,10,15,0,63
Sinem Aslan,Istanbul,not_sure_yet,Kerem Yilmaz,Istanbul,just_friends,21,75,-5,10,-5,75
Sinem Aslan,Istanbul,not_sure_yet,Can Tekin,Istanbul,open_to_relationship,18,65,10,10,-5,50
